"""","和歌山県_全 建 築 物_床 面 積","和歌山県_全 建 築 物_前年(同月･期)比","和歌山県_居 住 専 用_床 面 積","和歌山県_居 住 専 用_前年(同月･期)比","和歌山県_産 業 用 （非居住専用）_床 面 積","和歌山県_産 業 用 （非居住専用）_前年(同月･期)比"
"平成17年","1031.968","-12.7","625.613","-8.8","406.355","-18.0"
"平成18年","1201.978","16.474348041799743","641.77","2.5825869986716867","560.208","37.86172189341829"
"平成19年","1031.88","-14.151506932739196","594.028","-7.4391137011702","437.852","-21.841173278496555"
"平成20年","971.278","-5.872969725161852","600.038","1.0117368204865613","371.23999999999995","-15.213359765400185"
"平成21年","827.7280000000001","-14.779496704342108","513.188","-14.47408330805716","314.54","-15.273138670401877"
"平成22年","972.463","17.485816596756408","521.891","1.695869739744495","450.572","43.24791759394671"
"平成23年","972.5519999999999","0.009152019151372315","504.36800000000005","-3.357597659281325","468.1839999999999","3.9088092469127957"
"平成24年","1078.1819999999998","10.861115909483487","510.98699999999997","1.3123354376169516","567.1949999999999","21.14788202928763"
"平成25年","979.336","-9.167839937969632","587.4250000000001","14.958893279085402","391.911","-30.90365747229788"
"平成26年","877.054","-10.44401512861775","490.00800000000004","-16.5837340937141","387.04600000000005","-1.2413532664303801"
"平成19年1-3月","215.605","-20.4","136.542","-13.5","79.06299999999999","-28.9"
"平成19年4-6月","354.26300000000003","43.4","192.667","22.3","161.596","78.4"
"平成19年7-9月","235.11399999999998","-35.9","129.279","-31.2","105.835","-40.6"
"平成19年10-12月","226.898","-28.2","151.639","-2.0","75.25900000000001","-53.1"
"平成20年1-3月","269.54","25.01565362584357","154.475","13.133687803020308","115.065","45.535838508531214"
"平成20年4-6月","202.977","-42.704431453468196","132.353","-31.304790130120878","70.624","-56.295947919502964"
"平成20年7-9月","268.95799999999997","14.39471915751507","175.305","35.60206994175391","93.65299999999999","-11.51036991543441"
"平成20年10-12月","229.803","1.2803109767384342","137.905","-9.057036778137544","91.89800000000001","22.1089836431523"
"平成21年1-3月","242.164","-10.156563033316033","121.32900000000001","-21.457193720666766","120.83499999999998","5.014556989527648"
"平成21年4-6月","202.222","-0.37196332589405756","133.994","1.239866115615058","68.22800000000001","-3.392614408699572"
"平成21年7-9月","194.648","-27.628849113988053","131.63","-24.913721799150053","63.017999999999994","-32.711178499354006"
"平成21年10-12月","188.69400000000002","-17.888800407305382","126.235","-8.462347268046841","62.45900000000001","-32.03442947615834"
"平成22年1-3月","230.485","-4.822764737946173","115.313","-4.95841884462908","115.172","-4.686556047502776"
"平成22年4-6月","229.18399999999997","13.332871794364593","124.025","-7.439885368001555","105.15899999999999","54.12880342381422"
"平成22年7-9月","266.862","37.099790390859425","134.593","2.251006609435535","132.269","109.89082484369547"
"平成22年10-12月","245.93200000000002","30.333767899350278","147.96","17.20996554046026","97.97200000000001","56.858098912886845"
"平成23年1-3月","245.45499999999998","6.494999674599214","123.179","6.821433836601258","122.27599999999998","6.168165873649826"
"平成23年4-6月","247.755","8.103096202178179","123.049","-0.78693811731506","124.70599999999999","18.588042868418313"
"平成23年7-9月","243.974","-8.576717554391422","142.931","6.194972992651941","101.04299999999999","-23.607950464583553"
"平成23年10-12月","235.368","-4.295496316054852","115.209","-22.135036496350367","120.15899999999999","22.64626628016167"
"平成24年1-3月","224.015","-8.734798639261783","112.055","-9.030760113330999","111.96","-8.43665150969936"
"平成24年4-6月","220.08599999999998","-11.16788763092572","129.831","5.511625450023956","90.255","-27.62577582473979"
"平成24年7-9月","245.753","0.7291760597440771","131.688","-7.866033260804187","114.065","12.887582514375069"
"平成24年10-12月","388.328","64.9875938955168","137.413","19.272799868065874","250.915","108.81914796228332"
"平成25年1-3月","231.65699999999998","3.411378702319041","136.652","21.95082771853106","95.00500000000001","-15.143801357627709"
"平成25年4-6月","262.937","19.470116227292976","137.31","5.76056565843291","125.62700000000001","39.1911805440142"
"平成25年7-9月","216.43","-11.931899101943813","146.006","10.872668732154807","70.424","-38.25976416955245"
"平成25年10-12月","268.312","-30.90583218310293","167.457","21.864015777255403","100.85500000000002","-59.80511328537552"
"平成26年1-3月","238.40499999999997","2.9129273020025153","127.733","-6.526797997833896","110.672","16.490711015209712"
"平成26年4-6月","205.999","-21.65461688541363","116.471","-15.176607676061465","89.52799999999999","-28.735064914389426"
"平成26年7-9月","197.084","-8.938686873353973","134.671","-7.763379587140264","62.413000000000004","-11.375383392025455"
"平成26年10-12月","235.566","-12.2044485524315","111.13300000000001","-33.63490328860543","124.433","23.37811709880519"
"平成19年1月","68.481","-2.9","46.563","-11.7","21.917999999999992","20.1"
"平成19年2月","61.756","-45.6","39.046","-19.2","22.71","-63.2"
"平成19年3月","85.368","-2.3","50.933","-10.5","34.434999999999995","12.9"
"平成19年4月","110.003","13.4","45.11","-29.8","64.893","83.5"
"平成19年5月","97.337","22.8","59.925","24.8","37.412000000000006","20.7"
"平成19年6月","146.923","107.0","87.632","87.6","59.291","142.4"
"平成19年7月","129.307","-7.2","43.289","-30.5","86.01799999999999","10.9"
"平成19年8月","58.158","-57.4","47.487","-39.8","10.671","-80.0"
"平成19年9月","47.649","-47.8","38.503","-17.7","9.146","-78.7"
"平成19年10月","69.038","-26.6","54.779","0.1","14.258999999999993","-62.5"
"平成19年11月","86.799","-36.5","47.326","-12.4","39.473000000000006","-52.4"
"平成19年12月","71.061","-16.4","49.534","7.7","21.527000000000008","-44.8"
"平成20年1月","95.203","39.02104233290987","58.373","25.363486029680217","36.830000000000005","68.03540469020905"
"平成20年2月","88.465","43.24923894034589","48.523","24.27137222762896","39.942","75.8784676354029"
"平成20年3月","85.872","0.590385156030365","47.579","-6.585121630377159","38.293","11.203717148250348"
"平成20年4月","67.143","-38.96257374798869","44.063","-2.3209931279095457","23.08","-64.43376018985099"
"平成20年5月","61.197","-37.12873830095441","42.57","-28.96120150187734","18.627000000000002","-50.21116219394847"
"平成20年6月","74.637","-49.19992104707909","45.72","-47.827277706773785","28.917","-51.22868563525661"
"平成20年7月","81.437","-37.0204242616409","60.196","39.05611125228117","21.241","-75.30633123299774"
"平成20年8月","99.133","70.45462361154097","58.64","23.48642786446817","40.492999999999995","279.46771624027735"
"平成20年9月","88.388","85.49812168146235","56.469","46.66129911954911","31.919000000000004","248.9940957795758"
"平成20年10月","66.846","-3.1750630087777694","44.619","-18.547253509556583","22.227000000000004","55.88049652850842"
"平成20年11月","93.322","7.515063537598365","49.346","4.268266914592388","43.976000000000006","11.407797735160742"
"平成20年12月","69.635","-2.006726615161625","43.94","-11.293253119069732","25.695000000000007","19.36173177869651"
"平成21年1月","68.231","-28.331039988235673","38.39","-34.233292789474575","29.840999999999994","-18.976377952755925"
"平成21年2月","79.532","-10.097778782569392","48.26","-0.5420110050903872","31.272","-21.7064743878624"
"平成21年3月","94.401","9.932224706539955","34.679","-27.112801866369622","59.721999999999994","55.96061943436138"
"平成21年4月","68.592","2.1580805147223003","36.019","-18.255679368177397","32.573","41.13084922010398"
"平成21年5月","54.587","-10.801183064529312","40.517","-4.822645055203196","14.07","-24.464487034949272"
"平成21年6月","79.043","5.9032383402334005","57.458","25.67366579177603","21.585000000000008","-25.355327316111612"
"平成21年7月","65.556","-19.500963935311958","36.496","-39.37138680310983","29.059999999999995","36.81088460995244"
"平成21年8月","59.304","-40.17733751626602","46.196","-21.22100954979537","13.108000000000004","-67.62897290889782"
"平成21年9月","69.788","-21.043580576548862","48.938","-13.336520922984292","20.849999999999994","-34.67840471192709"
"平成21年10月","50.999","-23.70672889926098","34.955","-21.658934534615298","16.044000000000004","-27.81751923336482"
"平成21年11月","65.436","-29.8814856089668","50.444","2.2251043650954614","14.992000000000004","-65.90867746043295"
"平成21年12月","72.259","3.768220004308162","40.836","-7.064178425125164","31.423000000000002","22.292274761626743"
"平成22年1月","58.463","-14.316073339098054","41.252","7.455066423547805","17.211","-42.32431889011762"
"平成22年2月","79.632","0.1257355529849633","37.017","-23.296726067136333","42.615","36.27206446661552"
"平成22年3月","92.39","-2.1302740437071606","37.044","6.819689149052735","55.346000000000004","-7.32728307826261"
"平成22年4月","58.549","-14.641649171915091","36.39","1.0300119381437582","22.159","-31.971264544254453"
"平成22年5月","85.943","57.44224815432244","38.54","-4.879433324283639","47.403","236.90831556503196"
"平成22年6月","84.692","7.146742912085813","49.095","-14.554979289219943","35.596999999999994","64.91545054435943"
"平成22年7月","90.194","37.58313502959302","43.525","19.259644892590956","46.669000000000004","60.59532002752931"
"平成22年8月","103.058","73.77917172534737","50.82","10.009524634167462","52.23800000000001","298.5199877937137"
"平成22年9月","73.61","5.476586232590137","40.248","-17.757162123503207","33.362","60.00959232613914"
"平成22年10月","77.87","52.68926841702779","47.306","35.33400085824633","30.564000000000007","90.50112191473448"
"平成22年11月","72.538","10.853352894431197","46.515","-7.788835143921986","26.022999999999996","73.57924226253994"
"平成22年12月","95.524","32.19668138224995","54.139","32.57664805563721","41.385","31.702892785539234"
"平成23年1月","70.565","20.70027196688504","38.195","-7.41054979152527","32.37","88.07739236534775"
"平成23年2月","74.701","-6.192234277677329","37.885","2.3448685738984665","36.815999999999995","-13.607884547694496"
"平成23年3月","100.189","8.441389760796625","47.099","27.143397041356224","53.089999999999996","-4.07617533335744"
"平成23年4月","120.993","106.65254743889733","50.638","39.153613630118144","70.35499999999999","217.5007897468297"
"平成23年5月","48.01","-44.137393388641314","33.787","-12.332641411520498","14.222999999999999","-69.9955699006392"
"平成23年6月","78.752","-7.013649459216921","38.624","-21.32803747835827","40.12799999999999","12.728600724780165"
"平成23年7月","70.614","-21.70876111493004","43.008","-1.1878230901780569","27.606","-40.84724335211811"
"平成23年8月","121.603","17.99472141900675","67.311","32.449822904368375","54.29199999999999","3.9320035223400254"
"平成23年9月","51.757","-29.687542453470996","32.612","-18.97237129795269","19.144999999999996","-42.6143516575745"
"平成23年10月","84.014","7.890073198921272","34.544","-26.977550416437666","49.47","61.85708676874751"
"平成23年11月","72.599","0.08409385425571259","42.117","-9.455014511447928","30.482000000000006","17.134842254928387"
"平成23年12月","78.755","-17.554750638582988","38.548","-28.79809379560021","40.206999999999994","-2.846441947565552"
"平成24年1月","99.389","40.847445617515774","38.712","1.3535803115591278","60.67699999999999","87.44825455668828"
"平成24年2月","67.337","-9.857967095487325","31.887","-15.832123531740791","35.45","-3.7103433289873777"
"平成24年3月","57.289","-42.81907195400693","41.456","-11.981146096520078","15.832999999999998","-70.17705782633264"
"平成24年4月","79.197","-34.54414718206837","43.861","-13.383229985386464","35.336000000000006","-49.77471395067868"
"平成24年5月","61.652","28.414913559675057","34.666","2.6015923284103337","26.986000000000004","89.73493637066727"
"平成24年6月","79.237","0.6158573750507941","51.304","32.829328914664444","27.932999999999993","-30.390251196172258"
"平成24年7月","83.411","18.122468632282548","46.689","8.558872767857139","36.722","33.02180685358255"
"平成24年8月","58.88","-51.58014193728773","47.707","-29.124511595430164","11.173000000000002","-79.42054077948868"
"平成24年9月","103.462","99.89953049829009","37.292","14.350545811357776","66.17","245.62548968399068"
"平成24年10月","79.028","-5.934725164853461","41.685","20.672186197313593","37.343","-24.513846775823723"
"平成24年11月","88.026","21.249603989035663","50.392","19.647648218059217","37.63399999999999","23.46302736040937"
"平成24年12月","221.274","180.96501809408932","45.336","17.609214485835835","175.938","337.580520804835"
"平成25年1月","63.354","-36.25652738230589","37.916","-2.056209960735714","25.438000000000002","-58.076371607033956"
"平成25年2月","99.976","48.47112285964624","51.513","61.54859347069336","48.463","36.70803949224259"
"平成25年3月","68.327","19.26722407442965","47.223","13.91113469702816","21.104","33.2912271837302"
"平成25年4月","121.073","52.875740242685964","45.263","3.1964615489843027","75.81","114.540412044374"
"平成25年5月","65.086","5.569973399078691","43.709","26.08607857843421","21.376999999999995","-20.78485140443196"
"平成25年6月","76.778","-3.103348183298195","48.338","-5.781225635428029","28.440000000000005","1.8150574589196111"
"平成25年7月","68.751","-17.575619522604924","49.931","6.943819743408497","18.820000000000007","-48.75006807908064"
"平成25年8月","83.041","41.03430706521738","43.177","-9.49546188190412","39.864","256.7886870133357"
"平成25年9月","64.638","-37.52488836481026","52.898","41.84811755872573","11.740000000000002","-82.25782076469699"
"平成25年10月","85.31","7.949081338259845","59.913","43.727959697732985","25.397000000000006","-31.98993117853412"
"平成25年11月","101.197","14.962624679072107","53.251","5.673519606286703","47.946000000000005","27.40075463676466"
"平成25年12月","81.805","-63.02999900575757","54.293","19.75692606317277","27.512000000000008","-84.3626732144278"
"平成26年1月","64.485","1.785206932474665","42.451","11.960649857579924","22.034","-13.381555153707069"
"平成26年2月","77.821","-22.160318476434355","37.986","-26.25939083338187","39.835","-17.803272599715243"
"平成26年3月","96.099","40.645718383655066","47.296","0.15458568917688353","48.803000000000004","131.25000000000006"
"平成26年4月","66.066","-45.43292063465842","39.589","-12.535625124273679","26.477000000000004","-65.07452842632898"
"平成26年5月","50.195","-22.878960145038874","32.09","-26.58262600379784","18.104999999999997","-15.306170182906868"
"平成26年6月","89.738","16.87983536950688","44.792","-7.335843435806197","44.946","58.03797468354429"
"平成26年7月","75.074","9.19695713516893","51.563","3.2685105445514893","23.510999999999996","24.925611052072185"
"平成26年8月","59.496","-28.353463951541997","38.12","-11.712254209417068","21.376000000000005","-46.377684126028484"
"平成26年9月","62.514","-3.2859927596769722","44.988","-14.95330636318954","17.526000000000003","49.28449744463373"
"平成26年10月","45.991","-46.08955573789708","29.612","-50.57500041727171","16.379","-35.508130881600195"
"平成26年11月","126.808","25.3080624919711","41.999","-21.130119622166717","84.809","76.8844116297501"
"平成26年12月","62.767","-23.27241611148463","39.522","-27.20608549905144","23.245000000000005","-15.509595812736265"
